bot,leverage,period,trades,wr,pf,return,mdd,sharpe,avg_hold_h,trades_per_day,max_simultaneous,skipped
hf_meanrevert,3,2025-01-03~2026-03-12,3140,43.4,1.06,10.3,-20.9,0.95,1.4,7.2,4,772
hf_meanrevert,5,2025-01-03~2026-03-12,3140,43.4,1.07,17.3,-32.4,0.96,1.4,7.2,4,772
hf_meanrevert,10,2025-01-03~2026-03-12,3140,43.4,1.09,35.6,-54.8,0.99,1.4,7.2,4,772
hf_momentum,3,2025-01-03~2026-03-12,6835,37.7,0.79,-57.4,-62.2,-7.1,2.1,15.7,6,593
hf_momentum,5,2025-01-03~2026-03-12,6835,37.7,0.8,-76.0,-80.4,-7.1,2.1,15.7,6,593
hf_momentum,10,2025-01-03~2026-03-12,6835,37.7,0.81,-94.4,-96.2,-7.1,2.1,15.7,6,593
hf_spread,3,2025-01-03~2026-03-12,919,40.7,0.71,-21.0,-21.7,-4.46,3.7,2.1,4,2137
hf_spread,5,2025-01-03~2026-03-12,919,40.7,0.71,-32.6,-33.6,-4.46,3.7,2.1,4,2137
hf_spread,10,2025-01-03~2026-03-12,919,40.7,0.71,-54.8,-56.2,-4.47,3.7,2.1,4,2137
hf_break,3,2025-01-03~2026-03-12,2842,34.4,0.78,-30.9,-32.4,-4.77,1.8,6.5,4,268
hf_break,5,2025-01-03~2026-03-12,2842,34.4,0.78,-46.1,-48.0,-4.77,1.8,6.5,4,268
hf_break,10,2025-01-03~2026-03-12,2842,34.4,0.76,-71.3,-73.3,-4.78,1.8,6.5,4,268
hf_frarb,3,2025-01-03~2026-03-12,3299,50.4,1.07,12.8,-6.8,1.48,0.6,7.6,3,646
hf_frarb,5,2025-01-03~2026-03-12,3299,50.4,1.07,21.9,-11.2,1.49,0.6,7.6,3,646
hf_frarb,10,2025-01-03~2026-03-12,3299,50.4,1.08,46.9,-21.5,1.5,0.6,7.6,3,646
