variant,leverage,trades,wr,pf,return,mdd,sharpe,avg_hold,bankrupt
base,3,431,58.0,2.46,86.2,-1.7,6.12,0.1,False
base,5,431,58.0,2.48,180.9,-2.8,6.12,0.1,False
base,10,431,58.0,2.52,676.0,-5.6,6.12,0.1,False
tight,3,109,79.8,6.39,20.1,-0.3,5.32,0.0,False
tight,5,109,79.8,6.39,35.7,-0.5,5.32,0.0,False
tight,10,109,79.8,6.4,83.8,-1.1,5.32,0.0,False
aggressive,3,189,51.3,2.51,30.8,-1.2,3.9,0.2,False
aggressive,5,189,51.3,2.49,56.2,-1.9,3.9,0.2,False
aggressive,10,189,51.3,2.46,142.2,-3.8,3.9,0.2,False
scalp,3,704,80.4,6.04,112.8,-0.4,18.28,0.0,False
scalp,5,704,80.4,6.05,251.8,-0.7,18.28,0.0,False
scalp,10,704,80.4,6.11,1132.0,-1.4,18.28,0.0,False
fear_combo,3,162,56.2,2.35,55.9,-2.9,3.58,0.2,False
fear_combo,5,162,56.2,2.37,108.6,-4.8,3.58,0.2,False
fear_combo,10,162,56.2,2.4,325.4,-9.4,3.58,0.2,False
