bot,regime,pf,return,mdd,wr,trades
surge,bull,3.66,229.9,0,42.3,26
surge,bear,4.21,2095.7,0,47.1,174
surge,sideways,1.59,212.3,0,25.0,72
meanrevert,bull,4.05,2783.1,0,50.1,633
meanrevert,bear,6.21,236.8,0,60.5,38
meanrevert,sideways,4.2,570.3,0,50.8,122
meanrevert_tight,bull,5.65,9973.1,0,59.2,355
meanrevert_tight,bear,7.81,403.2,0,66.7,12
meanrevert_tight,sideways,5.7,1667.8,0,59.3,59
meanrevert_hybrid,bull,3.9,2605.3,0,53.0,660
meanrevert_hybrid,bear,5.08,210.2,0,59.5,42
meanrevert_hybrid,sideways,4.31,559.8,0,55.5,128
meanrevert_adaptive,bull,4.05,2783.1,0,50.1,633
meanrevert_adaptive,bear,6.21,236.8,0,60.5,38
meanrevert_adaptive,sideways,4.2,570.3,0,50.8,122
weakshort,bull,4.09,526.0,0,58.9,214
weakshort,bear,21.84,53.8,0,90.0,10
weakshort,sideways,3.03,51.3,0,54.5,22
sniper,bull,0.0,0.0,0,0.0,0
sniper,bear,2.94,16.3,0,34.6,26
sniper,sideways,0.21,-0.4,0,50.0,2
scalp,bull,3.65,1401.2,0,53.3,644
scalp,bear,2.63,662.4,0,45.7,385
scalp,sideways,3.07,476.8,0,49.8,225
alpha,bull,0.0,0.0,0,0.0,0
alpha,bear,5.5,351.7,0,50.0,12
alpha,sideways,0.0,0.0,0,0.0,0
