key,leverage,depth,tp_pct,sl_pct,mode,trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe_ratio,final_capital
agg_lev1_1x_ls,1,1x,3.0,1.0,L+S,429,69.2,5.16,312.9,-1.1,9.92,4129276.0
agg_lev1_1x_so,1,1x,3.0,1.0,SO,290,72.1,5.86,221.8,-1.1,8.6,3217733.0
agg_lev3_1x_ls,3,1x,3.0,1.0,L+S,429,69.2,5.12,977.0,-3.3,8.23,10769559.0
agg_lev3_1x_so,3,1x,3.0,1.0,SO,290,72.1,5.92,703.3,-3.3,7.44,8033022.0
agg_lev1_1x_fr,1,1x,3.0,1.0,FR,177,79.1,8.34,153.1,-0.7,7.41,2531489.0
agg_lev3_1x_fr,3,1x,3.0,1.0,FR,177,79.1,8.49,496.3,-1.3,6.82,5963483.0
agg_7x_1x_ls,7,1x,3.0,1.0,L+S,429,69.2,5.1,2304.9,-7.0,6.79,24048553.0
agg_7x_1x_so,7,1x,3.0,1.0,SO,290,72.1,5.86,1665.5,-7.5,6.16,17654571.0
agg_7x_1x_fr,7,1x,3.0,1.0,FR,177,79.1,8.5,1183.0,-3.0,5.97,12830280.0
agg_lev1_2x_ls,1,2x,6.0,2.0,L+S,426,50.0,2.67,353.9,-6.7,5.64,4538672.0
agg_lev1_2x_so,1,2x,6.0,2.0,SO,288,53.5,3.04,274.6,-4.0,5.48,3746329.0
agg_lev1_2x_fr,1,2x,6.0,2.0,FR,176,61.4,4.24,217.1,-4.6,5.26,3170535.0
agg_lev3_2x_so,3,2x,6.0,2.0,SO,288,53.5,3.0,862.2,-11.6,4.73,9622121.0
agg_lev3_2x_ls,3,2x,6.0,2.0,L+S,426,50.0,2.63,1105.4,-19.1,4.59,12053650.0
agg_lev3_2x_fr,3,2x,6.0,2.0,FR,176,61.4,4.17,687.2,-13.3,4.52,7871758.0
agg_7x_2x_so,7,2x,6.0,2.0,SO,288,53.5,2.98,2043.9,-23.1,3.97,21438950.0
agg_7x_2x_fr,7,2x,6.0,2.0,FR,176,61.4,4.12,1627.6,-21.2,3.78,17275854.0
agg_7x_2x_ls,7,2x,6.0,2.0,L+S,426,50.0,2.59,2604.7,-37.0,3.68,27046529.0
agg_lev1_3x_so,1,3x,9.0,3.0,SO,284,41.9,1.94,224.2,-7.5,3.38,3241729.0
agg_lev1_3x_ls,1,3x,9.0,3.0,L+S,421,39.7,1.78,276.2,-13.7,3.27,3762178.0
agg_lev1_3x_fr,1,3x,9.0,3.0,FR,176,44.3,2.16,162.4,-5.8,3.17,2623726.0
agg_lev3_3x_so,3,3x,9.0,3.0,SO,284,41.9,1.95,729.7,-21.1,3.16,8297438.0
agg_lev3_3x_fr,3,3x,9.0,3.0,FR,176,44.3,2.16,529.1,-13.0,3.0,6290601.0
agg_lev3_3x_ls,3,3x,9.0,3.0,L+S,421,39.7,1.78,892.7,-36.1,2.81,9926846.0
agg_7x_3x_so,7,3x,9.0,3.0,SO,284,41.9,1.95,1731.5,-41.2,2.76,18314973.0
agg_7x_3x_fr,7,3x,9.0,3.0,FR,176,44.3,2.16,1256.4,-28.1,2.66,13563670.0
agg_7x_3x_ls,7,3x,9.0,3.0,L+S,421,39.7,1.78,2151.6,-63.8,2.43,22515502.0
agg_lev3_4x_ls,3,4x,12.0,4.0,L+S,413,35.6,1.5,810.2,-25.2,2.31,9102471.0
agg_lev1_4x_ls,1,4x,12.0,4.0,L+S,413,35.6,1.49,222.3,-15.8,2.29,3223419.0
agg_7x_4x_ls,7,4x,12.0,4.0,L+S,413,35.6,1.49,1918.7,-37.9,2.23,20187084.0
agg_7x_4x_so,7,4x,12.0,4.0,SO,276,35.5,1.52,1344.4,-25.9,2.21,14443635.0
agg_lev3_4x_so,3,4x,12.0,4.0,SO,276,35.5,1.5,551.5,-21.0,2.14,6515210.0
agg_lev1_4x_so,1,4x,12.0,4.0,SO,276,35.5,1.48,147.7,-16.5,1.93,2476630.0
agg_7x_4x_fr,7,4x,12.0,4.0,FR,176,36.4,1.58,953.0,-45.0,1.93,10529868.0
agg_lev1_4x_fr,1,4x,12.0,4.0,FR,176,36.4,1.6,115.7,-14.4,1.9,2157002.0
agg_lev3_4x_fr,3,4x,12.0,4.0,FR,176,36.4,1.57,395.5,-35.4,1.88,4954767.0
agg_7x_5x_ls,7,5x,15.0,5.0,L+S,410,32.7,1.29,1366.2,-71.3,1.71,14661672.0
agg_lev3_5x_ls,3,5x,15.0,5.0,L+S,410,32.7,1.27,505.9,-53.9,1.53,6059099.0
agg_lev1_5x_ls,1,5x,15.0,5.0,L+S,410,32.7,1.27,130.4,-22.9,1.47,2304291.0
agg_7x_5x_fr,7,5x,15.0,5.0,FR,175,30.9,1.24,509.0,-74.3,1.37,6090345.0
agg_7x_5x_so,7,5x,15.0,5.0,SO,273,31.1,1.16,518.5,-86.6,1.34,6185247.0
agg_lev3_5x_fr,3,5x,15.0,5.0,FR,175,30.9,1.23,203.4,-54.4,1.17,3034018.0
agg_lev3_5x_so,3,5x,15.0,5.0,SO,273,31.1,1.15,161.8,-71.2,0.99,2618078.0
agg_lev1_5x_fr,1,5x,15.0,5.0,FR,175,30.9,1.22,49.7,-23.7,0.94,1497327.0
agg_lev1_5x_so,1,5x,15.0,5.0,SO,273,31.1,1.19,56.0,-30.6,0.91,1559868.0
